pmid,first_author,lab_pi,lab,year,dataset_description,experiment_description,assay_term_id,assay_term_name,biosample_id,biosample_term_name,strain_background,experiment_dbxref,datafile_name,gbrowse_category,old_category,category,label,key
16248679,Guillemette,"Gaudreau, Luc",University of Sherbrooke,2005,Table S4 accompanying the publication; contains the smoothed H2A.Z/H2A.Z log2 ratios derived from the raw ChIP-chip data across the entire genome.,"Guillemette et al. examined the distribution of histone variant H2A.Z across the yeast genome using ChIP-chip, finding it predominantly within specific nucleosomes in the promoter of inactive genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,Other,E-MEXP-396,http://downloads.yeastgenome.org/published_datasets/Guillemette_2005_PMID_16248679/track_files/Guillemette_2005_H2AZ_vs_H2AZ_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,H2AZ_vs_H2AZ_ChIP_chip,Guillemette_2005_H2AZ_vs_H2AZ_ChIP_chip_V64
16248679,Guillemette,"Gaudreau, Luc",University of Sherbrooke,2005,Table S2 accompanying the publication; contains the smoothed H2A.Z/H2B log2 ratios derived from the raw ChIP-chip data across the entire genome.,"Guillemette et al. examined the distribution of histone variant H2A.Z across the yeast genome using ChIP-chip, finding it predominantly within specific nucleosomes in the promoter of inactive genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,Other,E-MEXP-396,http://downloads.yeastgenome.org/published_datasets/Guillemette_2005_PMID_16248679/track_files/Guillemette_2005_H2AZ_vs_H2B_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,H2AZ_vs_H2B_ChIP_chip,Guillemette_2005_H2AZ_vs_H2B_ChIP_chip_V64
21947206,Johnson,"Bentley, David",University of Colorado School of Medicine,2011,GSM763292_29495802_Clp1-HA.gff corresponding to GEO sample record GSM763292 supplied by the authors upon remapping to genome version V64 (UCSC sacCer3); contains normalized HA-tagged Clp1 occupancy as measured by ChIP-chip.,"Johnson et al. performed ChIP-chip and RNA-seq to examine the role of mRNA export adaptor Yra1in 3'end processing and to investigate whether the interaction of Yra1 and Pcf11 influcences the assembly of the CF1A complex comprising of Rna14, Rna15, Pcf11 and Clp1.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,S288C,GSE30703|GSE30706,http://downloads.yeastgenome.org/published_datasets/Johnson_2011_PMID_21947206/track_files/Johnson_2011_Clp1_ChIP_chip_V64.bedgraph,transcription regulation|gene structure,RNA structure,RNA structure,Clp1_ChIP_chip,Johnson_2011_Clp1_ChIP_chip_V64
21947206,Johnson,"Bentley, David",University of Colorado School of Medicine,2011,GSM763291_22924802_Sub2_ratio.gff corresponding to GEO sample record GSM763291 supplied by the authors upon remapping to genome version V64 (UCSC sacCer3); contains normalized Sub2 occupancy as measured by ChIP-chip.,"Johnson et al. performed ChIP-chip and RNA-seq to examine the role of mRNA export adaptor Yra1 in 3'end processing and to investigate whether the interaction of Yra1 and Pcf11 influcencesthe assembly of the CF1A complex comprising of Rna14, Rna15, Pcf11 and Clp1.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,GSE30703|GSE30706,http://downloads.yeastgenome.org/published_datasets/Johnson_2011_PMID_21947206/track_files/Johnson_2011_Sub2_ChIP_chip_V64.bedgraph,transcription regulation|gene structure,RNA structure,RNA structure,Sub2_ChIP_chip,Johnson_2011_Sub2_ChIP_chip_V64
21947206,Johnson,"Bentley, David",University of Colorado School of Medicine,2011,GSM763290_22927502_Yra1_ratio.gff corresponding to GEO sample record GSM763290 supplied by the authors upon remapping to genome version V64 (UCSC sacCer3); contains normalized Yra1 occupancy as measured by ChIP-chip.,"Johnson et al. performed ChIP-chip and RNA-seq to examine the role of mRNA export adaptor Yra1 in 3'end processing and to investigate whether the interaction of Yra1 and Pcf11 influcences the assembly of the CF1A complex comprising of Rna14, Rna15, Pcf11 and Clp1.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,GSE30703|GSE30706,http://downloads.yeastgenome.org/published_datasets/Johnson_2011_PMID_21947206/track_files/Johnson_2011_Yra1_ChIP_chip_V64.bedgraph,transcription regulation|gene structure,RNA structure,RNA structure,Yra1_ChIP_chip,Johnson_2011_Yra1_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the Esa1 vs whole cell extract ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_Esa1_vs_WCE_YPD_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,Esa1_vs_WCE_YPD_ChIP_chip,Esa1_vs_WCE_YPD_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the Gcn4 vs whole cell extract ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_Gcn4_vs_WCE_AA_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,Gcn4_vs_WCE_AA_ChIP_chip,Gcn4_vs_WCE_AA_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the Gcn5 vs whole cell extract ChIP-chip experiment for each microarry 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_Gcn5_vs_WCE_YPD_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,Gcn5_vs_WCE_YPD_ChIP_chip,Gcn5_vs_WCE_YPD_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the histone H3 vs. whole cell extract ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_histone_H3_vs_WCE_H2O2_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,H3_vs_WCE_H2O2_ChIP_chip,H3_vs_WCE_H2O2_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the histone H3 vs whole cell extract ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_histone_H3_vs_WCE_YPD_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,H3_vs_WCE_YPD_ChIP_chip,H3_vs_WCE_YPD_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the histone H3K14ac vs H3 ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_histone_H3K14ac_vs_H3_H2O2_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,H3K14ac_vs_H3_H2O2_ChIP_chip,H3K14ac_vs_H3_H2O2_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the histone H3K14ac vs H3 ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_histone_H3K14ac_vs_H3_YPD_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,H3K14ac_vs_H3_YPD_ChIP_chip,H3K14ac_vs_H3_YPD_ChIP_chip_V64
16122420,Pokholok,"Young, Richard A.",Whitehead Institute for Biomedical Research,2005,Pokholok_et_al_data.xls supplementary file provided by the authors at their supplementary website: http://web.wi.mit.edu/young/nucleosome/; contains the average ratio from experimental replicates for the histone H3K14ac vs whole cell extract ChIP-chip experiment for each microarray 60-mer probe midpoint.,"Pokholok et al. performed ChIP-chip assays to examine the distribution of methylated and acetylated histones in modififed nucleosomes across the budding yeast genome, finding both modifications to be associated with transcriptional activity, but with different pattern distributions relative to genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,E-WMIT-3,http://downloads.yeastgenome.org/published_datasets/Pokholok_2005_PMID_16122420/track_files/Pokholok_2005_histone_H3K14ac_vs_WCE_YPD_ChIP_chip_V64.bedgraph,chromatin structure,histone modification,histone modification,H3K14ac_vs_WCE_YPD_ChIP_chip,H3K14ac_vs_WCE_YPD_ChIP_chip_V64
